,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,+/-,Salary,Gender,Pick,UnDraft
572,Jarrett Culver,ATL,24,10,5,5,13.7,4.4,-1.9,6395160,1,6.0,0
573,Kemba Walker,DAL,33,9,5,4,16.0,8.0,-0.1,1392896,1,9.0,0
574,Omer Yurtseven,MIA,25,9,5,4,9.2,4.4,1.1,1752638,1,,1
575,Ryan Rollins,GSW,20,12,5,7,5.2,1.9,-3.9,1017781,1,44.0,0
576,Stanley Johnson,SAS,27,30,5,25,15.6,5.8,-3.1,1245164,1,8.0,0
577,Tony Bradley,CHI,25,12,5,7,2.8,1.6,0.9,2036318,1,28.0,0
578,Carlik Jones,CHI,25,7,4,3,8.0,2.9,3.7,357717,1,,1
579,Jason Preston,LAC,23,14,4,10,8.8,2.9,-0.8,1563518,1,33.0,0
580,Justin Champagnie,BOS,22,5,4,1,6.9,2.2,-0.8,28241,1,,1
581,Nerlens Noel,BKN,29,17,4,13,11.5,2.1,-4.4,9240000,1,6.0,0
582,Otto Porter Jr.,TOR,30,8,4,4,18.3,5.5,-2.6,6000000,1,,1
583,Rodney McGruder,DET,31,32,4,28,16.4,5.7,-1.4,1836090,1,,1
584,Sam Merrill,CLE,27,5,4,1,11.7,5.0,-1.0,850000,1,60.0,0
585,Udonis Haslem,MIA,43,7,4,3,10.3,3.9,-3.6,1836090,1,,1
586,Andre Iguodala,GSW,39,8,3,5,14.1,2.1,4.4,1836090,1,9.0,0
587,Cade Cunningham,DET,21,12,3,9,33.3,19.9,-5.0,10552800,1,1.0,0
588,Dylan Windler,CLE,26,3,3,0,3.5,1.7,-0.3,4037278,1,26.0,0
589,Gorgui Dieng,SAS,33,31,3,28,11.6,3.9,-4.9,622582,1,21.0,0
590,Jared Butler,OKC,22,6,3,3,12.8,6.2,-0.2,1563518,1,40.0,0
591,Joshua Primo,SAS,20,4,3,1,23.3,7.0,-0.5,4144320,1,12.0,0
592,Marko Simonovic,CHI,23,7,3,4,2.8,0.9,2.1,1563518,1,44.0,0
593,Mfiondu Kabengele,BOS,25,4,3,1,9.1,1.5,-1.3,1701593,1,27.0,0
594,Cody Martin,CHA,27,7,2,5,19.1,5.0,-3.7,7000000,1,36.0,0
595,Isaiah Todd,WAS,21,6,2,4,10.2,1.5,-1.2,1575000,1,31.0,0
596,Luka Samanic,UTA,23,7,2,5,23.0,9.9,-0.9,2959080,1,19.0,0
597,Sterling Brown,LAL,28,4,2,2,6.1,0.0,-1.0,3000000,1,46.0,0
598,Trevelin Queen,IND,26,7,2,5,10.0,3.0,2.0,1637966,1,,1
599,Xavier Cooks,WAS,27,10,2,8,12.6,3.8,1.9,140384,1,,1
600,Alize Johnson,SAS,27,4,1,3,7.4,1.8,3.0,1392896,1,50.0,0
601,Chima Moneke,SAC,27,2,1,1,4.0,1.0,-4.5,1017781,1,,1
602,Daniel Theis,IND,31,7,1,6,15.5,7.0,-2.7,8694369,1,,1
603,Kobi Simmons,CHA,25,5,1,4,5.6,1.0,-3.8,32795,1,,1
604,Michael Carter-Williams,ORL,31,4,1,3,11.1,4.3,-6.5,652829,1,11.0,0
605,Nate Williams,POR,24,5,1,4,25.3,10.6,-7.6,52644,1,,1
606,Shaquille Harrison,LAL,29,5,1,4,24.0,8.8,-0.2,12260,1,,1
607,Jarrell Brantley,UTA,27,4,0,4,9.7,5.5,3.8,1669178,1,50.0,0
608,Xavier Sneed,CHA,25,4,0,4,12.1,4.3,-7.0,8558,1,,1
