,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,+/-,Salary,Gender,Pick,UnDraft
185,Terance Mann,LAC,26,81,44,37,23.1,8.8,0.0,1930681,1,48.0,0
186,Torrey Craig,PHX,32,79,44,35,24.7,7.4,-2.2,5121951,1,,1
187,Ivica Zubac,LAC,26,76,43,33,28.5,10.8,-0.4,10123457,1,32.0,0
188,Jamal Murray,DEN,26,65,43,22,32.8,20.0,4.6,31650000,1,7.0,0
189,Jarred Vanderbilt,LAL,24,78,43,35,24.1,7.9,-1.3,4374000,1,41.0,0
190,Joel Embiid,PHI,29,66,43,23,34.6,33.1,6.4,33616770,1,3.0,0
191,Marcus Smart,BOS,29,61,43,18,32.1,11.5,3.9,17207141,1,6.0,0
192,Pat Connaughton,MIL,30,61,43,18,23.7,7.6,2.2,5728393,1,41.0,0
193,Trey Lyles,SAC,27,74,43,31,16.9,7.6,1.4,2700000,1,12.0,0
194,Donte DiVincenzo,GSW,26,72,42,30,26.3,9.4,1.7,4500000,1,17.0,0
195,Josh Hart,NYK,28,76,42,34,32.3,9.8,4.1,12960000,1,30.0,0
196,Max Strus,MIA,27,80,42,38,28.4,11.5,-1.8,1815677,1,,1
197,Mikal Bridges,BKN,26,83,42,41,35.7,20.1,0.4,20100000,1,10.0,0
198,Royce O'Neale,BKN,30,76,42,34,31.7,8.8,1.0,9200000,1,,1
199,Chimezie Metu,SAC,26,66,41,25,10.4,4.9,1.3,1910680,1,49.0,0
200,Draymond Green,GSW,33,73,41,32,31.5,8.5,4.7,25806468,1,35.0,0
201,Jaden McDaniels,MIN,22,79,41,38,30.6,12.1,0.9,2161440,1,28.0,0
202,Jaren Jackson Jr.,MEM,23,63,41,22,28.4,18.6,5.8,28946605,1,,1
203,Michael Porter Jr.,DEN,25,62,41,21,29.0,17.4,6.7,30913750,1,,1
204,Nic Claxton,BKN,24,76,41,35,29.9,12.6,1.6,8500000,1,,1
205,Onyeka Okongwu,ATL,22,80,41,39,23.1,9.9,0.8,6395160,1,6.0,0
206,Quentin Grimes,NYK,23,71,41,30,29.9,11.3,2.6,2277000,1,25.0,0
207,Spencer Dinwiddie,BKN,30,79,41,38,34.5,17.3,-0.1,19500000,1,38.0,0
208,Anthony Edwards,MIN,21,79,40,39,36.0,24.6,1.2,10733400,1,1.0,0
209,Ayo Dosunmu,CHI,23,80,40,40,26.2,8.6,-1.0,1563518,1,38.0,0
210,Bam Adebayo,MIA,25,75,40,35,34.6,20.4,1.6,30351780,1,14.0,0
211,Damion Lee,PHX,30,74,40,34,20.4,8.2,1.1,1836090,1,,1
212,Darius Garland,CLE,23,69,40,29,35.5,21.6,6.3,8920795,1,5.0,0
213,Ja Morant,MEM,23,61,40,21,31.9,26.2,5.0,9603360,1,2.0,0
214,Jalen Brunson,NYK,26,68,40,28,35.0,24.0,2.2,27733332,1,33.0,0
215,Joe Harris,BKN,31,74,40,34,20.6,7.6,-0.3,18642857,1,33.0,0
216,Jonas Valanciunas,NOP,31,79,40,39,24.9,14.1,-0.1,14700000,1,5.0,0
217,Naji Marshall,NOP,25,77,40,37,23.3,9.1,0.1,1782621,1,,1
218,Nikola Vucevic,CHI,32,82,40,42,33.5,17.6,-0.2,22000000,1,16.0,0
219,Patrick Williams,CHI,21,82,40,42,28.3,10.2,-1.7,7775400,1,4.0,0
220,RJ Barrett,NYK,23,73,40,33,33.9,19.6,-0.8,10900635,1,,1
221,Troy Brown Jr.,LAL,23,76,40,36,24.5,7.1,-0.2,1836090,1,,1
222,Xavier Tillman,MEM,24,61,40,21,19.3,7.0,0.0,1901625,1,,1
223,Chris Boucher,TOR,30,76,39,37,20.0,9.4,-0.2,12690000,1,,1
224,D'Angelo Russell,LAL,27,71,39,32,32.5,17.8,1.2,31377750,1,2.0,0
225,James Harden,PHI,33,58,39,19,36.8,21.0,4.8,33000000,1,3.0,0
226,Lamar Stevens,CLE,25,62,39,23,18.1,5.3,0.1,1782621,1,,1
227,Trey Murphy III,NOP,23,79,39,40,31.0,14.5,0.5,3206640,1,17.0,0
228,Tyrese Maxey,PHI,22,60,39,21,33.6,20.3,4.0,2726880,1,21.0,0
229,CJ McCollum,NOP,31,75,38,37,35.3,20.9,0.8,33333333,1,,1
230,Caleb Martin,MIA,27,71,38,33,29.3,9.6,-0.1,6479000,1,,1
231,Danuel House Jr.,PHI,30,56,38,18,14.4,4.8,-0.3,4105000,1,,1
232,Dejounte Murray,ATL,26,74,38,36,36.4,20.5,-0.8,16571120,1,29.0,0
233,Desmond Bane,MEM,25,58,38,20,31.7,21.5,6.1,2130240,1,30.0,0
234,Jonathan Kuminga,GSW,20,67,38,29,20.8,9.9,-0.8,5739860,1,7.0,0
235,Josh Okogie,PHX,24,72,38,34,18.8,7.3,1.5,1836090,1,20.0,0
236,Klay Thompson,GSW,33,69,38,31,33.0,21.9,2.4,40600080,1,11.0,0
237,Matisse Thybulle,POR,26,71,38,33,16.9,4.1,-0.2,4379527,1,20.0,0
238,Rui Hachimura,LAL,25,63,38,25,23.3,11.2,-0.4,6263188,1,9.0,0
239,Scottie Barnes,TOR,21,77,38,39,34.8,15.3,2.3,7644720,1,4.0,0
240,Terence Davis,SAC,26,64,38,26,13.1,6.7,0.7,4000000,1,,1
241,Trae Young,ATL,24,73,38,35,34.8,26.2,1.4,37095000,1,5.0,0
242,Vlatko Cancar,DEN,26,60,38,22,14.8,5.0,-1.1,2234359,1,49.0,0
243,Zach LaVine,CHI,28,77,38,39,35.9,24.8,0.2,37096500,1,13.0,0
244,Aaron Wiggins,OKC,24,70,37,33,18.5,6.8,0.1,1563518,1,55.0,0
245,Coby White,CHI,23,74,37,37,23.4,9.7,1.9,7413955,1,7.0,0
246,DeMar DeRozan,CHI,33,74,37,37,36.2,24.5,0.9,27300000,1,9.0,0
247,Dennis Schroder,LAL,29,66,37,29,30.1,12.6,1.9,1836090,1,17.0,0
248,Dwight Powell,DAL,31,76,37,39,19.2,6.7,2.2,11080125,1,45.0,0
249,Gabe Vincent,MIA,27,68,37,31,25.9,9.4,-0.4,1815677,1,,1
250,John Collins,ATL,25,71,37,34,30.0,13.1,-0.3,23500000,1,19.0,0
251,Luke Kennard,MEM,27,59,37,22,22.3,9.3,3.6,14415545,1,12.0,0
252,Moses Moody,GSW,21,63,37,26,13.0,4.8,-0.1,3562200,1,14.0,0
253,Obi Toppin,NYK,25,67,37,30,15.7,7.4,0.9,5348280,1,8.0,0
254,Reggie Bullock Jr.,DAL,32,78,37,41,30.3,7.2,-1.1,10012800,1,,1
255,Seth Curry,BKN,32,61,37,24,19.8,9.2,-1.1,8496500,1,,1
256,Tim Hardaway Jr.,DAL,31,71,37,34,30.3,14.4,2.3,19602273,1,24.0,0
257,Tyler Herro,MIA,23,67,37,30,34.9,20.1,2.5,5722116,1,13.0,0
258,Wenyen Gabriel,LAL,26,68,37,31,15.1,5.5,-0.5,1878720,1,,1
259,Wesley Matthews,MIL,36,52,37,15,15.8,3.4,1.0,1836090,1,,1
260,Bones Hyland,LAC,22,56,36,20,19.4,11.8,-2.3,2201520,1,26.0,0
261,Deandre Ayton,PHX,24,67,36,31,30.4,18.0,-0.1,30913750,1,1.0,0
262,Isaiah Joe,OKC,23,73,36,37,19.1,9.5,2.9,1836090,1,49.0,0
263,Jalen Williams,OKC,22,75,36,39,30.3,14.1,-0.7,4341480,1,12.0,0
264,Jordan Nwora,IND,24,62,36,26,19.2,8.7,-4.1,3000000,1,45.0,0
265,Kyle Anderson,MIN,29,69,36,33,28.4,9.4,1.3,8780488,1,30.0,0
266,Luguentz Dort,OKC,24,74,36,38,30.7,13.7,0.5,15277778,1,,1
267,Miles McBride,NYK,22,64,36,28,11.9,3.5,0.8,1563518,1,36.0,0
268,Reggie Jackson,DEN,33,68,36,32,24.4,10.2,-1.2,580373,1,24.0,0
269,Russell Westbrook,LAC,34,73,36,37,29.1,15.9,-0.3,495955,1,4.0,0
270,Austin Reaves,LAL,25,64,35,29,28.8,13.0,3.3,1563518,1,,1
271,Buddy Hield,IND,30,80,35,45,31.0,16.8,-1.1,22768890,1,6.0,0
272,Clint Capela,ATL,29,65,35,30,26.6,12.0,-0.5,18706896,1,25.0,0
273,De'Andre Hunter,ATL,25,67,35,32,31.7,15.4,-0.3,9835881,1,4.0,0
274,Jalen Johnson,ATL,21,70,35,35,14.9,5.6,-0.1,2792640,1,20.0,0
275,Jimmy Butler,MIA,33,64,35,29,33.4,22.9,0.7,37653300,1,30.0,0
276,Jock Landale,PHX,27,69,35,34,14.2,6.6,2.0,1563518,1,,1
277,Kevin Love,MIA,34,62,35,27,20.0,8.2,1.8,3114138,1,5.0,0
278,Marcus Morris Sr.,LAC,33,65,35,30,28.1,11.2,-0.2,16372093,1,,1
279,Mitchell Robinson,NYK,25,59,35,24,26.9,7.4,3.1,17045454,1,36.0,0
280,Montrezl Harrell,PHI,29,57,35,22,11.9,5.6,0.3,2463490,1,32.0,0
281,Pascal Siakam,TOR,29,71,35,36,37.4,24.2,1.7,35448672,1,27.0,0
282,AJ Griffin,ATL,19,72,34,38,19.5,8.9,0.9,3536160,1,,1
283,Devin Booker,PHX,26,53,34,19,34.6,27.8,4.7,33833400,1,13.0,0
284,Fred VanVleet,TOR,29,69,34,35,36.7,19.3,2.8,21250000,1,,1
285,Jaylen Nowell,MIN,23,65,34,31,19.3,10.8,-0.1,1930681,1,43.0,0
286,Josh Giddey,OKC,20,76,34,42,31.1,16.6,-1.4,6287280,1,6.0,0
287,Kevin Durant,PHX,34,47,34,13,35.6,29.1,5.5,44119845,1,2.0,0
288,Larry Nance Jr.,NOP,30,65,34,31,21.2,6.8,2.8,9672727,1,,1
289,MarJon Beauchamp,MIL,22,52,34,18,13.5,5.1,-1.9,2485200,1,24.0,0
290,Mike Conley,MIN,35,67,34,33,30.3,11.9,0.9,22680000,1,4.0,0
291,Patrick Beverley,CHI,34,67,34,33,27.1,6.2,-1.2,357717,1,42.0,0
292,Rudy Gobert,MIN,31,70,34,36,30.7,13.4,-0.1,38172414,1,27.0,0
293,Walker Kessler,UTA,21,74,34,40,23.0,9.2,1.0,2696400,1,22.0,0
294,Zeke Nnaji,DEN,22,53,34,19,13.7,5.2,-1.8,2498760,1,22.0,0
295,Alex Caruso,CHI,29,67,33,34,23.5,5.6,3.0,9030000,1,,1
296,Bennedict Mathurin,IND,21,78,33,45,28.5,16.7,-2.3,6586800,1,6.0,0
297,Bismack Biyombo,PHX,30,61,33,28,14.3,4.3,0.8,1836090,1,7.0,0
298,Chris Paul,PHX,38,59,33,26,32.0,13.9,1.4,28400000,1,4.0,0
299,Christian Wood,DAL,27,67,33,34,25.9,16.6,-0.7,14317460,1,,1
300,Deni Avdija,WAS,22,76,33,43,26.6,9.2,-0.7,4916160,1,9.0,0
301,Dyson Daniels,NOP,20,59,33,26,17.7,3.8,-0.1,5508600,1,8.0,0
302,Edmond Sumner,BKN,27,53,33,20,13.9,7.1,0.5,1968175,1,52.0,0
303,Franz Wagner,ORL,21,80,33,47,32.6,18.6,0.6,5258280,1,8.0,0
304,Ish Wainright,PHX,28,60,33,27,15.3,4.2,1.5,474851,1,,1
305,Jeff Green,DEN,36,56,33,23,19.5,7.8,-3.4,4500000,1,5.0,0
306,Kawhi Leonard,LAC,32,52,33,19,33.6,23.8,4.2,42492492,1,15.0,0
307,Luka Doncic,DAL,24,66,33,33,36.2,32.4,1.9,37095000,1,3.0,0
308,OG Anunoby,TOR,25,67,33,34,35.6,16.8,2.0,17357143,1,23.0,0
309,Shai Gilgeous-Alexander,OKC,24,68,33,35,35.5,31.4,2.2,30913750,1,11.0,0
310,Thomas Bryant,DEN,25,59,33,26,18.3,9.8,-1.6,1836090,1,42.0,0
311,Aaron Holiday,ATL,26,63,32,31,13.4,3.9,0.3,1836090,1,23.0,0
312,Andre Drummond,CHI,29,67,32,35,12.7,6.0,0.4,3200000,1,9.0,0
313,Andrew Nembhard,IND,23,75,32,43,27.6,9.5,-3.5,2244111,1,31.0,0
314,Brandon Clarke,MEM,26,56,32,24,19.5,10.0,-0.3,4343920,1,21.0,0
315,Daniel Gafford,WAS,24,78,32,46,20.6,9.0,-1.1,1930681,1,38.0,0
316,Joe Ingles,MIL,35,46,32,14,22.7,6.9,1.7,6479000,1,,1
317,Kyrie Irving,DAL,31,60,32,28,37.3,27.1,3.7,38917057,1,1.0,0
318,Lauri Markkanen,UTA,26,66,32,34,34.4,25.6,2.5,16475454,1,7.0,0
319,Mike Muscala,BOS,31,63,32,31,15.0,6.1,3.2,3500000,1,44.0,0
320,Naz Reid,MIN,23,68,32,36,18.4,11.5,-1.9,1930681,1,,1
321,Paul George,LAC,33,56,32,24,34.6,23.8,2.8,42492492,1,10.0,0
322,Payton Pritchard,BOS,25,48,32,16,13.4,5.6,0.3,2239200,1,26.0,0
323,Shaedon Sharpe,POR,20,80,32,48,22.2,9.9,-3.7,6012960,1,7.0,0
324,Anthony Davis,LAL,30,56,31,25,34.0,25.9,3.7,37980720,1,1.0,0
325,Corey Kispert,WAS,24,74,31,43,28.3,11.1,-1.7,3552960,1,15.0,0
326,Devonte' Graham,SAS,28,73,31,42,18.3,7.4,-2.2,11550000,1,34.0,0
327,Dorian Finney-Smith,BKN,30,66,31,35,30.4,8.3,-0.1,12939648,1,,1
328,Drew Eubanks,POR,26,78,31,47,20.3,6.6,-1.7,1836090,1,,1
329,Gary Trent Jr.,TOR,24,66,31,35,32.1,17.4,-0.8,17505000,1,,1
330,Herbert Jones,NOP,24,66,31,35,29.6,9.8,2.3,1785000,1,,1
331,Jalen McDaniels,PHI,25,80,31,49,23.9,9.4,-1.9,1930681,1,52.0,0
332,Jalen Smith,IND,23,68,31,37,18.8,9.4,-1.4,4670160,1,10.0,0
333,Jericho Sims,NYK,24,52,31,21,15.6,3.4,-2.2,1639842,1,58.0,0
334,Norman Powell,LAC,30,60,31,29,26.1,17.0,-2.1,16758621,1,46.0,0
335,Paolo Banchero,ORL,20,72,31,41,33.7,20.0,-3.0,11055120,1,1.0,0
336,Raul Neto,CLE,31,48,31,17,10.5,3.3,0.2,1836090,1,,1
337,T.J. McConnell,IND,31,75,31,44,20.4,8.7,-0.8,8100000,1,,1
338,Taurean Prince,MIN,29,54,31,23,22.1,9.1,0.0,8000000,1,12.0,0
339,Tre Mann,OKC,22,67,31,36,17.7,7.7,0.9,3046200,1,18.0,0
340,Aaron Nesmith,IND,23,73,30,43,24.9,10.1,-2.9,3804360,1,14.0,0
341,Cam Thomas,BKN,21,57,30,27,16.6,10.6,-0.1,2138160,1,27.0,0
342,Dean Wade,CLE,26,44,30,14,20.3,4.7,2.5,1930681,1,,1
343,JaMychal Green,GSW,33,57,30,27,14.0,6.4,-2.7,1836090,1,,1
344,Jordan Clarkson,UTA,31,61,30,31,32.6,20.8,0.6,13340000,1,46.0,0
345,Jose Alvarado,NOP,25,61,30,31,21.5,9.0,1.7,1563518,1,,1
346,Kendrick Nunn,WAS,27,70,30,40,13.8,7.1,-0.8,5250000,1,,1
347,Kyle Lowry,MIA,37,55,30,25,31.2,11.2,1.0,28333334,1,24.0,0
348,LeBron James,LAL,38,55,30,25,35.5,28.9,3.9,44474988,1,1.0,0
349,Precious Achiuwa,TOR,23,55,30,25,20.7,9.2,-0.7,2840160,1,20.0,0
350,Stephen Curry,GSW,35,56,30,26,34.7,29.4,4.8,48070014,1,7.0,0
351,Talen Horton-Tucker,UTA,22,65,30,35,20.2,10.7,-0.1,10260000,1,46.0,0
352,Yuta Watanabe,BKN,28,58,30,28,16.0,5.6,-0.1,1762796,1,,1
353,Christian Koloko,TOR,23,58,29,29,13.8,3.1,2.7,1500000,1,33.0,0
354,Davon Reed,LAL,28,43,29,14,8.0,2.1,-2.3,1902133,1,32.0,0
355,Derrick Jones Jr.,CHI,26,64,29,35,14.0,5.0,1.9,3200000,1,,1
356,Kyle Kuzma,WAS,27,64,29,35,35.0,21.2,0.2,13000000,1,27.0,0
357,Malachi Flynn,TOR,25,53,29,24,13.0,4.6,-0.8,2145720,1,29.0,0
358,Markelle Fultz,ORL,25,60,29,31,29.6,14.0,-2.2,16500000,1,1.0,0
359,Myles Turner,IND,27,62,29,33,29.4,18.0,-0.8,35096500,1,11.0,0
360,Nickeil Alexander-Walker,MIN,24,59,29,30,15.0,6.2,-0.9,5009633,1,17.0,0
361,Ochai Agbaji,UTA,23,59,29,30,20.5,7.9,-0.3,3918360,1,14.0,0
362,Rudy Gay,UTA,36,56,29,27,14.6,5.2,1.0,6184500,1,8.0,0
363,Cole Anthony,ORL,23,60,28,32,25.9,13.0,-0.4,3613680,1,15.0,0
364,Haywood Highsmith,MIA,26,54,28,26,18.0,4.4,-1.9,1752638,1,,1
365,Jerami Grant,POR,29,63,28,35,35.6,20.5,-0.6,20955000,1,39.0,0
366,Kelly Olynyk,UTA,32,68,28,40,28.6,12.5,0.2,12195122,1,13.0,0
367,Mason Plumlee,LAC,33,79,28,51,26.0,10.8,-3.4,9080417,1,22.0,0
368,Monte Morris,WAS,28,62,28,34,27.4,10.3,0.1,9125000,1,51.0,0
369,Steven Adams,MEM,29,42,28,14,27.0,8.6,5.8,17926829,1,12.0,0
370,Tyrese Haliburton,IND,23,56,28,28,33.6,20.7,-0.6,4215120,1,12.0,0
371,Anfernee Simons,POR,24,62,27,35,35.0,21.1,-1.2,22321429,1,24.0,0
372,Blake Griffin,BOS,34,41,27,14,13.9,4.1,2.6,1836090,1,1.0,0
373,Bogdan Bogdanovic,ATL,30,54,27,27,27.9,14.0,1.2,18000000,1,27.0,0
374,Cameron Payne,PHX,28,48,27,21,20.2,10.3,1.6,6000000,1,14.0,0
375,Damian Lillard,POR,32,58,27,31,36.3,32.2,1.8,42492492,1,6.0,0
376,George Hill,IND,37,46,27,19,18.1,5.0,0.9,4000000,1,26.0,0
377,Goran Dragic,MIL,37,58,27,31,15.0,6.3,0.1,390433,1,45.0,0
378,Josh Green,DAL,22,60,27,33,25.7,9.1,1.3,3098400,1,18.0,0
379,Kristaps Porzingis,WAS,27,65,27,38,32.6,23.2,1.2,33833400,1,4.0,0
380,Lonnie Walker IV,LAL,24,56,27,29,23.2,11.7,-3.7,6479000,1,,1
381,Moritz Wagner,ORL,26,57,27,30,19.5,10.5,-0.5,1878720,1,,1
382,Oshae Brissett,IND,25,65,27,38,16.7,6.1,0.3,1846738,1,,1
383,Terrence Ross,PHX,32,63,27,36,21.1,8.3,-1.2,580373,1,8.0,0
384,Will Barton,TOR,32,56,27,29,17.7,6.8,-3.0,432642,1,40.0,0
385,Amir Coffey,LAC,26,50,26,24,12.5,3.4,-2.3,3395062,1,,1
386,Bol Bol,ORL,23,70,26,44,21.5,9.1,-2.1,2200000,1,44.0,0
387,Dario Saric,OKC,29,57,26,31,14.1,6.4,0.6,9240000,1,12.0,0
388,Delon Wright,WAS,31,50,26,24,24.4,7.4,1.4,7804878,1,20.0,0
389,Jakob Poeltl,TOR,27,72,26,46,26.5,12.5,-2.0,9398148,1,9.0,0
390,Kenrich Williams,OKC,28,53,26,27,22.8,8.0,1.4,2000000,1,,1
391,T.J. Warren,PHX,29,42,26,16,16.4,7.5,1.3,1836090,1,14.0,0
392,Trendon Watford,POR,22,62,26,36,19.1,7.4,-2.9,1563518,1,,1
393,Wendell Carter Jr.,ORL,24,57,26,31,29.6,15.2,-0.7,14150000,1,,1
394,Austin Rivers,MIN,30,52,25,27,19.5,4.9,-2.7,1836090,1,10.0,0
395,Cameron Johnson,BKN,27,42,25,17,28.6,15.5,3.7,5887899,1,11.0,0
396,Ish Smith,DEN,34,43,25,18,9.3,2.5,-0.8,4750000,1,,1
397,Khris Middleton,MIL,31,33,25,8,24.3,15.1,4.0,37948276,1,39.0,0
398,Mo Bamba,LAL,25,49,25,24,15.7,6.6,0.2,10300000,1,,1
399,Robin Lopez,CLE,35,37,25,12,8.1,3.0,-1.6,1836090,1,15.0,0
400,Simone Fontecchio,UTA,27,52,25,27,14.7,6.3,-3.9,3205128,1,,1
401,Thanasis Antetokounmpo,MIL,30,37,25,12,5.6,1.4,-3.1,1878720,1,51.0,0
402,Ben Simmons,BKN,26,42,24,18,26.3,6.9,1.0,35448672,1,1.0,0
403,Bradley Beal,WAS,30,50,24,26,33.5,23.2,0.8,43279250,1,3.0,0
404,Collin Sexton,UTA,24,48,24,24,23.9,14.3,-0.6,16500000,1,8.0,0
405,Furkan Korkmaz,PHI,25,37,24,13,9.6,3.8,0.1,5000000,1,26.0,0
406,Isaiah Jackson,IND,21,63,24,39,16.5,7.2,-2.0,2573760,1,22.0,0
407,Josh Richardson,NOP,29,65,24,41,23.5,10.1,-2.5,11615328,1,40.0,0
408,Jusuf Nurkic,POR,28,52,24,28,26.8,13.3,0.2,15625000,1,16.0,0
409,P.J. Washington,CHA,24,73,24,49,32.6,15.7,-5.1,5808435,1,12.0,0
410,Robert Williams III,BOS,25,35,24,11,23.5,8.0,4.9,10937502,1,,1
411,Saddiq Bey,ATL,24,77,24,53,27.6,13.8,-1.9,2959080,1,19.0,0
412,Brandon Ingram,NOP,25,45,23,22,34.2,24.7,2.1,31650600,1,2.0,0
413,DeAndre Jordan,DEN,34,39,23,16,15.0,5.1,-3.1,1836090,1,35.0,0
414,Dewayne Dedmon,PHI,33,38,23,15,11.2,5.2,-3.3,580373,1,,1
415,Jaylin Williams,OKC,21,49,23,26,18.7,5.9,-1.8,2000000,1,34.0,0
416,Ricky Rubio,CLE,32,33,23,10,17.2,5.2,1.4,5853659,1,5.0,0
417,Sandro Mamukelashvili,SAS,24,43,23,20,15.3,6.1,-2.7,357717,1,54.0,0
418,Thaddeus Young,TOR,35,54,23,31,14.7,4.4,-1.7,8000000,1,12.0,0
419,Victor Oladipo,MIA,31,42,23,19,26.3,10.7,-0.8,8750000,1,2.0,0
420,Willy Hernangomez,NOP,29,38,23,15,12.0,6.9,0.5,2443581,1,35.0,0
421,Day'Ron Sharpe,BKN,21,48,22,26,11.5,4.7,-2.1,2109480,1,29.0,0
422,Gary Harris,ORL,28,48,22,26,24.7,8.3,-1.8,13000000,1,19.0,0
423,JT Thor,CHA,20,69,22,47,14.0,3.8,-2.4,1563518,1,,1
424,Jake LaRavia,MEM,21,35,22,13,11.8,3.0,-2.2,3047640,1,19.0,0
425,Jaxson Hayes,NOP,23,47,22,25,13.0,5.0,-1.5,6803012,1,8.0,0
426,Jordan Goodwin,WAS,24,62,22,40,17.8,6.6,-1.9,900000,1,,1
427,Jordan McLaughlin,MIN,27,43,22,21,15.8,3.7,2.0,2160000,1,,1
428,KJ Martin,HOU,22,82,22,60,28.0,12.7,-4.5,1782621,1,,1
429,Kennedy Chandler,MEM,20,36,22,14,7.8,2.2,-1.1,1200000,1,38.0,0
430,Nassir Little,POR,23,54,22,32,18.1,6.6,-3.5,4171548,1,25.0,0
431,Richaun Holmes,SAC,29,42,22,20,8.3,3.1,-1.6,11215260,1,37.0,0
432,Tari Eason,HOU,22,82,22,60,21.6,9.3,-1.9,3309160,1,17.0,0
433,Anthony Gill,WAS,30,59,21,38,10.6,3.3,-0.2,1836090,1,,1
434,Jabari Smith Jr.,HOU,20,79,21,58,31.0,12.8,-7.0,8882640,1,,1
435,Jabari Walker,POR,20,56,21,35,11.1,3.9,-2.1,1017781,1,57.0,0
436,Nick Richards,CHA,25,65,21,44,18.7,8.2,-1.7,1782621,1,42.0,0
437,Taj Gibson,WAS,38,49,21,28,9.8,3.4,-0.1,1836090,1,26.0,0
438,Usman Garuba,HOU,21,75,21,54,12.9,3.0,-3.4,2471160,1,23.0,0
439,Ziaire Williams,MEM,21,37,21,16,15.2,5.7,-2.1,4591680,1,10.0,0
440,Caleb Houstan,ORL,20,51,20,31,15.9,3.8,-1.6,2000000,1,32.0,0
441,Davis Bertans,DAL,30,45,20,25,10.9,4.6,-0.8,16000000,1,42.0,0
442,Frank Ntilikina,DAL,24,47,20,27,12.9,2.9,0.7,2036318,1,8.0,0
443,Gordon Hayward,CHA,33,50,20,30,31.5,14.7,-2.2,30075000,1,9.0,0
444,JaVale McGee,DAL,35,42,20,22,8.4,4.4,-1.4,5461219,1,18.0,0
445,Jaden Hardy,DAL,20,48,20,28,14.8,8.8,-0.7,1017781,1,37.0,0
446,Jalen Green,HOU,21,76,20,56,34.2,22.1,-5.9,9441840,1,2.0,0
447,Jalen Suggs,ORL,22,53,20,33,23.5,9.9,-0.8,6922320,1,5.0,0
448,Juancho Hernangomez,TOR,27,42,20,22,14.6,2.9,0.3,1836090,1,15.0,0
449,Lindy Waters III,OKC,25,41,20,21,12.9,5.2,3.3,1927896,1,,1
450,Ousmane Dieng,OKC,20,39,20,19,14.6,4.9,1.0,4569840,1,11.0,0
451,Robert Covington,LAC,32,48,20,28,16.2,6.0,-0.1,12307692,1,,1
452,Tre Jones,SAS,23,68,20,48,29.2,12.9,-4.8,1782621,1,41.0,0
453,Zach Collins,SAS,25,63,20,43,22.9,11.6,-3.8,7350000,1,10.0,0
454,Andrew Wiggins,GSW,28,37,19,18,32.2,17.1,3.2,33616770,1,1.0,0
455,Chris Duarte,IND,26,46,19,27,19.5,7.9,-2.5,3936960,1,13.0,0
456,Dalen Terry,CHI,20,38,19,19,5.6,2.2,0.3,3191400,1,18.0,0
457,Darius Bazley,PHX,23,43,19,24,14.3,5.2,-1.6,4264629,1,23.0,0
458,Dennis Smith Jr.,CHA,25,54,19,35,25.7,8.8,-1.3,1836090,1,,1
459,Doug McDermott,SAS,31,64,19,45,20.5,10.2,-3.7,13750000,1,11.0,0
460,Duncan Robinson,MIA,29,42,19,23,16.4,6.4,-1.3,16902000,1,,1
461,Juan Toscano-Anderson,UTA,30,52,19,33,13.5,3.0,-2.8,1836090,1,,1
462,KZ Okpala,SAC,24,35,19,16,7.1,1.3,-0.3,1782621,1,32.0,0
463,Landry Shamet,PHX,26,40,19,21,20.2,8.7,1.0,9500000,1,26.0,0
464,Matthew Dellavedova,SAC,32,32,19,13,6.6,1.5,-1.6,1836090,1,,1
465,Max Christie,LAL,20,41,19,22,12.5,3.1,-1.9,1017781,1,35.0,0
466,Nathan Knight,MIN,25,38,19,19,7.7,3.7,-0.2,1836090,1,,1
467,Terry Rozier,CHA,29,63,19,44,35.3,21.1,-4.6,21486283,1,16.0,0
468,Theo Pinson,DAL,27,40,19,21,8.1,2.4,-1.3,1836090,1,,1
469,Alperen Sengun,HOU,20,75,18,57,28.9,14.8,-3.8,3375480,1,16.0,0
470,Justin Holiday,DAL,34,46,18,28,15.4,4.5,-2.8,569821,1,,1
471,Keita Bates-Diop,SAS,27,67,18,49,21.7,9.7,-4.0,1878720,1,48.0,0
472,Kevin Porter Jr.,HOU,23,59,18,41,34.3,19.2,-5.8,3217631,1,,1
473,Mark Williams,CHA,21,43,18,25,19.3,9.0,-1.8,3722040,1,15.0,0
474,Maxi Kleber,DAL,31,37,18,19,25.1,5.9,-1.2,9000000,1,,1
475,Patty Mills,BKN,34,40,18,22,14.2,6.2,-1.7,6479000,1,55.0,0
476,Dalano Banton,TOR,23,31,17,14,9.0,4.6,-1.1,1563318,1,46.0,0
477,Duane Washington Jr.,NYK,23,31,17,14,12.7,7.9,-0.2,1563518,1,,1
478,Keldon Johnson,SAS,23,63,17,46,32.8,22.0,-7.8,3873025,1,29.0,0
479,Kessler Edwards,SAC,22,36,17,19,10.7,2.8,0.1,1637966,1,44.0,0
480,Markieff Morris,DAL,33,35,17,18,10.1,3.8,0.3,1836090,1,13.0,0
481,Moses Brown,BKN,23,36,17,19,8.2,4.3,0.8,19186,1,,1
482,Noah Vonleh,BOS,27,23,17,6,7.5,1.1,-0.6,1836090,1,9.0,0
483,Udoka Azubuike,UTA,23,36,17,19,10.0,3.5,-2.3,2174880,1,27.0,0
484,Zion Williamson,NOP,22,29,17,12,33.0,26.0,5.1,13534817,1,1.0,0
